ID_ESTACION_PUBLICO_ESPECIFICO,TIPO_ESTACIONAMENTO,DESTINACAO_ESPECIFICA,DIA_REGRA_OPERACAO,PERIODO_VALIDO_REGRA_OPERACAO,NUMERO_VAGAS_FISICAS,NUMERO_VAGAS_ROTATIVAS,TEMPO_PERMANENCIA,TIPO_LOGRADOURO,LOGRADOURO,REFERENCIA_LOGRADOURO,DESC_TIPO_DESTINACAO,GEOMETRIA
3423,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,66,660,1 HORA(S),AVENIDA,BRASIL,ENTRE ALA JOSE MARIA ALKIMIM E AVE BRASIL,MOTOFRETE,POINT (609440.94 7812409.5)
3423,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,66,330,1 HORA(S),AVENIDA,BRASIL,ENTRE ALA JOSE MARIA ALKIMIM E AVE BRASIL,MOTOFRETE,POINT (609440.94 7812409.5)
3412,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,1 HORA(S),RUA,SAO PAULO,ENTRE AVE ALVARES CABRAL E AVE BIAS FORTES,MOTOFRETE,POINT (610683.2 7796122)
3412,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,1 HORA(S),RUA,SAO PAULO,ENTRE AVE ALVARES CABRAL E AVE BIAS FORTES,MOTOFRETE,POINT (610683.2 7796122)
3407,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,12,120,1 HORA(S),AVENIDA,BRASIL,ENTRE RUA PADRE MARINHO E AVE FRANCISCO SALES,MOTOFRETE,POINT (612503.56 7796352)
3407,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,12,60,1 HORA(S),AVENIDA,BRASIL,ENTRE RUA PADRE MARINHO E AVE FRANCISCO SALES,MOTOFRETE,POINT (612503.56 7796352)
3408,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,1 HORA(S),AVENIDA,PASTEUR,ENTRE RUA RIO GRANDE DO NORTE E AVE CARANDAI,MOTOFRETE,POINT (612085.44 7796209)
3408,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,1 HORA(S),AVENIDA,PASTEUR,ENTRE RUA RIO GRANDE DO NORTE E AVE CARANDAI,MOTOFRETE,POINT (612085.44 7796209)
3416,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,1 HORA(S),AVENIDA,GETULIO VARGAS,ENTRE RUA ALAGOAS E AVE DO CONTORNO,MOTOFRETE,POINT (611101.06 7794854)
3416,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,1 HORA(S),AVENIDA,GETULIO VARGAS,ENTRE RUA ALAGOAS E AVE DO CONTORNO,MOTOFRETE,POINT (611101.06 7794854)
3417,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,1 HORA(S),AVENIDA,GETULIO VARGAS,ENTRE RUA PARAIBA E AVE CRISTOVAO COLOMBO,MOTOFRETE,POINT (611527.56 7795101)
3417,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,1 HORA(S),AVENIDA,GETULIO VARGAS,ENTRE RUA PARAIBA E AVE CRISTOVAO COLOMBO,MOTOFRETE,POINT (611527.56 7795101)
4248,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,14,140,1 HORA(S),AVENIDA,OLEGARIO MACIEL,ENTRE RUA FELIPE DOS SANTOS E AVE DO CONTORNO,MOTOFRETE,POINT (610041.2 7795409)
4248,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,14,70,1 HORA(S),AVENIDA,OLEGARIO MACIEL,ENTRE RUA FELIPE DOS SANTOS E AVE DO CONTORNO,MOTOFRETE,POINT (610041.2 7795409)
