ID_EDESP,TIPO_ESTACIONAMENTO,DESTINACAO_ESPECIFICA,DIA_REGRA_OPERACAO,PERIODO_VALIDO_REGRA_OPERACAO,NUMERO_VAGAS_FISICAS,NUMERO_VAGAS_ROTATIVAS,TEMPO_PERMANENCIA,TIPO_LOGRADOURO,LOGRADOURO,REFERENCIA_LOGRADOURO,BAIRRO,GEOMETRIA
7,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,1 HORA(S),RUA,PADRE PEDRO PINTO,ENTRE RUA HYLDEU SANTOS FIGUEIREDO E RUA VALTER CAMPOLINA DINIZ,VENDA NOVA,POINT (608511.25 7808937.5)
8,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,1 HORA(S),RUA,PADRE PEDRO PINTO,ENTRE RUA HYLDEU SANTOS FIGUEIREDO E RUA VALTER CAMPOLINA DINIZ,VENDA NOVA,POINT (608511.25 7808937.5)
73,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,1 HORA(S),RUA,DESEMBARGADOR JORGE FONTANA,ENTRE RUA MAESTRO ARTHUR BOSMANS E RUA SEBASTIAO FABIANO DIAS,BELVEDERE,POINT (610494.3 7790799)
74,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,1 HORA(S),RUA,DESEMBARGADOR JORGE FONTANA,ENTRE RUA MAESTRO ARTHUR BOSMANS E RUA SEBASTIAO FABIANO DIAS,BELVEDERE,POINT (610494.3 7790799)
113,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,1 HORA(S),RUA,ORANGE,ENTRE RUA LAVRAS E RUA PADRE ODORICO,SÃO PEDRO,POINT (611437.4 7794681.5)
114,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,1 HORA(S),RUA,ORANGE,ENTRE RUA LAVRAS E RUA PADRE ODORICO,SÃO PEDRO,POINT (611437.4 7794681.5)
117,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,12,120,1 HORA(S),AVENIDA,BRASIL,ENTRE RUA PADRE MARINHO E AVE FRANCISCO SALES,SANTA EFIGÊNIA,POINT (612503.56 7796352)
118,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,12,60,1 HORA(S),AVENIDA,BRASIL,ENTRE RUA PADRE MARINHO E AVE FRANCISCO SALES,SANTA EFIGÊNIA,POINT (612503.56 7796352)
331,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,12,120,1 HORA(S),RUA,ALABANDINA,ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS,CAIÇARAS,POINT (607925.6 7800253)
332,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,12,60,1 HORA(S),RUA,ALABANDINA,ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS,CAIÇARAS,POINT (607925.6 7800253)
440,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,10,100,1 HORA(S),RUA,AQUILES LOBO,ENTRE AVE FRANCISCO SALES E RUA DO ITAMBE,FLORESTA,POINT (611920 7797037)
441,ROTATIVO,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,10,50,1 HORA(S),RUA,AQUILES LOBO,ENTRE AVE FRANCISCO SALES E RUA DO ITAMBE,FLORESTA,POINT (611920 7797037)
349,ROTATIVO,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,1 HORA(S),AVENIDA,VISCONDE DE IBITURUNA,ENTRE AVE AFONSO VAZ DE MELO E RUA DESEMBARGADOR RIBEIRO DA LUZ,BARREIRO,POINT (602920.56 7791161)
