ID_EDESP;TIPO_ESTACIONAMENTO;DESTINACAO_ESPECIFICA;DIA_REGRA_OPERACAO;PERIODO_VALIDO_REGRA_OPERACAO;NUMERO_VAGAS_FISICAS;NUMERO_VAGAS_ROTATIVAS;TEMPO_PERMANENCIA;TIPO_LOGRADOURO;LOGRADOURO;REFERENCIA_LOGRADOURO;BAIRRO;GEOMETRIA
355;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;8;80;1 HORA(S);AVENIDA;VISCONDE DE IBITURUNA;ENTRE AVE AFONSO VAZ DE MELO E RUA DESEMBARGADOR RIBEIRO DA LUZ;BARREIRO;POINT (602920.55 7791160.91)
356;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;8;40;1 HORA(S);AVENIDA;VISCONDE DE IBITURUNA;ENTRE AVE AFONSO VAZ DE MELO E RUA DESEMBARGADOR RIBEIRO DA LUZ;BARREIRO;POINT (602920.55 7791160.91)
370;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;18;180;1 HORA(S);RUA;RIO DE JANEIRO;ENTRE RUA DOS TAMOIOS E RUA DOS TUPIS;CENTRO;POINT (611047.50 7796957.12)
371;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;18;90;1 HORA(S);RUA;RIO DE JANEIRO;ENTRE RUA DOS TAMOIOS E RUA DOS TUPIS;CENTRO;POINT (611047.50 7796957.12)
377;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;10;100;1 HORA(S);RUA;ESPIRITO SANTO;ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS;CENTRO;POINT (611149.57 7796793.31)
378;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;10;50;1 HORA(S);RUA;ESPIRITO SANTO;ENTRE RUA DOS GOITACAZES E RUA DOS TUPIS;CENTRO;POINT (611149.57 7796793.31)
386;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;19;190;1 HORA(S);RUA;DESEMBARGADOR RIBEIRO DA LUZ;ENTRE RUA FLAVIO MARQUES LISBOA E AVE VISCONDE DE IBITURUNA;BARREIRO;POINT (602992.54 7791137.00)
387;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;19;95;1 HORA(S);RUA;DESEMBARGADOR RIBEIRO DA LUZ;ENTRE RUA FLAVIO MARQUES LISBOA E AVE VISCONDE DE IBITURUNA;BARREIRO;POINT (602992.54 7791137.00)
447;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;10;100;1 HORA(S);RUA;AQUILES LOBO;ENTRE AVE FRANCISCO SALES E RUA DO ITAMBE;FLORESTA;POINT (611920.00 7797037.02)
448;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;10;50;1 HORA(S);RUA;AQUILES LOBO;ENTRE AVE FRANCISCO SALES E RUA DO ITAMBE;FLORESTA;POINT (611920.00 7797037.02)
337;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;12;120;1 HORA(S);RUA;ALABANDINA;ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS;CAIÇARAS;POINT (607925.62 7800253.15)
338;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;12;60;1 HORA(S);RUA;ALABANDINA;ENTRE RUA PRINCESA ELIZABETH E PCA COMENDADOR MANOEL SENDAS;CAIÇARAS;POINT (607925.62 7800253.15)
7;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;8;80;1 HORA(S);RUA;PADRE PEDRO PINTO;ENTRE RUA HYLDEU SANTOS FIGUEIREDO E RUA VALTER CAMPOLINA DINIZ;VENDA NOVA;POINT (608511.26 7808937.35)
8;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;8;40;1 HORA(S);RUA;PADRE PEDRO PINTO;ENTRE RUA HYLDEU SANTOS FIGUEIREDO E RUA VALTER CAMPOLINA DINIZ;VENDA NOVA;POINT (608511.26 7808937.35)
75;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;9;45;1 HORA(S);RUA;DESEMBARGADOR JORGE FONTANA;ENTRE RUA MAESTRO ARTHUR BOSMANS E RUA SEBASTIAO FABIANO DIAS;BELVEDERE;POINT (610494.29 7790799.21)
76;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;9;90;1 HORA(S);RUA;DESEMBARGADOR JORGE FONTANA;ENTRE RUA MAESTRO ARTHUR BOSMANS E RUA SEBASTIAO FABIANO DIAS;BELVEDERE;POINT (610494.29 7790799.21)
115;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;8;80;1 HORA(S);RUA;ORANGE;ENTRE RUA LAVRAS E RUA PADRE ODORICO;SÃO PEDRO;POINT (611437.38 7794681.32)
116;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;8;40;1 HORA(S);RUA;ORANGE;ENTRE RUA LAVRAS E RUA PADRE ODORICO;SÃO PEDRO;POINT (611437.38 7794681.32)
119;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;12;120;1 HORA(S);AVENIDA;BRASIL;ENTRE RUA PADRE MARINHO E AVE FRANCISCO SALES;SANTA EFIGÊNIA;POINT (612503.55 7796351.92)
120;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;12;60;1 HORA(S);AVENIDA;BRASIL;ENTRE RUA PADRE MARINHO E AVE FRANCISCO SALES;SANTA EFIGÊNIA;POINT (612503.55 7796351.92)
201;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;8;80;1 HORA(S);RUA;ANTONIO DE ALBUQUERQUE;ENTRE RUA SERGIPE E RUA LEVINDO LOPES;SAVASSI;POINT (611006.62 7795116.85)
202;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;8;40;1 HORA(S);RUA;ANTONIO DE ALBUQUERQUE;ENTRE RUA SERGIPE E RUA LEVINDO LOPES;SAVASSI;POINT (611006.62 7795116.85)
670;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;7;70;1 HORA(S);AVENIDA;PASTEUR;ENTRE RUA RIO GRANDE DO NORTE E AVE CARANDAI;SANTA EFIGÊNIA;POINT (612085.42 7796209.14)
671;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;7;35;1 HORA(S);AVENIDA;PASTEUR;ENTRE RUA RIO GRANDE DO NORTE E AVE CARANDAI;SANTA EFIGÊNIA;POINT (612085.42 7796209.14)
513;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;10;100;1 HORA(S);RUA;PROFESSOR OCTAVIANO DE ALMEIDA;ENTRE RUA PACIFICO MASCARENHAS E RUA PONTA PORA;SANTA EFIGÊNIA;POINT (612921.77 7796865.25)
514;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;10;50;1 HORA(S);RUA;PROFESSOR OCTAVIANO DE ALMEIDA;ENTRE RUA PACIFICO MASCARENHAS E RUA PONTA PORA;SANTA EFIGÊNIA;POINT (612921.77 7796865.25)
524;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;6;60;1 HORA(S);RUA;RIO GRANDE DO NORTE;ENTRE RUA DOS AIMORES E AVE AFONSO PENA;FUNCIONÁRIOS;POINT (611891.14 7795808.21)
525;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;6;30;1 HORA(S);RUA;RIO GRANDE DO NORTE;ENTRE RUA DOS AIMORES E AVE AFONSO PENA;FUNCIONÁRIOS;POINT (611891.14 7795808.21)
550;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;7;70;1 HORA(S);AVENIDA;GETULIO VARGAS;ENTRE RUA PARAIBA E AVE CRISTOVAO COLOMBO;SAVASSI;POINT (611527.56 7795100.87)
551;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;7;35;1 HORA(S);AVENIDA;GETULIO VARGAS;ENTRE RUA PARAIBA E AVE CRISTOVAO COLOMBO;SAVASSI;POINT (611527.56 7795100.87)
